participant_id;A;B;C
500009;6;6;97
500011;2;2;2
500012;4;4;4
500031;5;5;4
500036;6;2;3
500042;6;3;3
500046;6;6;6
500047;3;3;5
500048;6;6;6
500049;97;97;97
500052;5;3;3
500053;6;6;6
500055;97;97;97
500059;6;6;3
500060;4;2;3
500072;6;4;3
500083;6;6;6
500086;2;2;2
500089;97;97;97
500090;2;2;2
500092;4;3;4
500096;4;4;3
500097;99;99;99
500116;6;2;2
500117;97;97;97
500121;6;6;4
500129;6;6;2
500130;3;3;3
500131;5;4;4
500133;6;6;5
500134;5;5;5
500135;97;97;2
500137;5;3;4
500138;6;3;6
500139;6;6;6
500141;3;3;3
500142;4;4;4
500144;3;2;2
500145;4;3;5
500146;3;3;3
500167;4;3;3
500169;2;2;4
500172;3;3;3
500179;97;97;97
500180;6;6;6
500182;5;5;5
500184;3;3;2
500187;4;3;3
500188;3;2;2
500189;2;3;3
500191;3;3;3
500192;97;97;97
500193;6;6;6
500195;6;3;3
500203;3;97;97
500211;6;6;6
500213;4;3;4
500220;6;6;6
500221;5;4;4
500223;4;3;3
500224;4;3;2
500225;97;97;97
500226;3;3;3
500227;4;3;3
500228;3;4;4
500229;6;4;3
500230;2;2;2
500231;99;99;99
500240;97;97;97
500253;5;4;5
500257;4;3;3
500258;4;3;3
500260;4;4;4
500261;2;2;2
500263;6;3;6
500264;5;4;4
500267;5;5;5
500270;1;2;3
500277;6;6;6
500278;4;3;3
500295;6;6;6
500308;6;6;6
500309;3;2;2
500310;6;2;2
500312;4;3;3
500313;3;3;3
500314;97;3;4
500316;3;3;3
500317;3;2;3
500319;99;99;99
500331;6;6;6
500346;2;3;2
500347;6;6;6
500357;4;4;3
500358;5;6;3
500359;2;3;3
500360;3;4;3
500362;2;2;2
500363;6;6;6
500378;3;3;3
500392;3;2;3
500394;6;6;6
500395;6;6;6
500399;6;5;5
500405;6;6;6
500411;4;4;5
500412;97;97;97
500413;6;2;2
500414;2;2;3
500415;3;4;4
500416;5;3;6
500419;6;3;3
500420;6;2;2
500421;4;4;4
500422;4;4;5
500423;3;5;5
500425;6;6;6
500426;6;4;4
500427;6;6;6
500428;4;3;4
500429;4;3;3
500441;6;6;6
500442;2;3;3
500455;6;3;6
500456;5;4;3
500457;6;6;6
500462;5;4;4
500463;3;3;3
500471;3;3;3
500472;3;3;3
500476;3;3;3
500477;6;6;6
500478;6;6;6
500481;99;99;99
500482;6;6;6
500483;6;5;4
500484;3;4;3
500485;6;3;4
500486;2;2;2
500487;5;5;5
500495;3;3;3
500496;2;3;3
500497;97;97;97
500514;3;2;4
500515;4;2;4
500516;3;3;3
500517;6;5;5
500520;3;3;3
500521;6;6;6
500522;2;2;3
500523;4;5;5
500529;2;3;3
500533;3;3;2
500534;2;2;3
500535;97;97;97
500536;6;5;5
500540;4;4;4
500541;3;2;4
500542;4;5;3
500544;3;2;2
500546;6;3;3
500548;4;3;2
500549;3;3;3
500576;4;3;3
500579;3;3;5
500580;4;5;5
500582;4;4;4
500584;2;2;3
500588;4;3;3
500589;3;3;5
500590;5;4;4
500591;4;4;5
500600;3;3;3
500601;3;3;3
500605;3;2;2
500606;6;4;6
500607;4;3;4
500609;6;6;97
500610;2;2;3
500611;2;2;2
500639;3;4;3
500640;3;4;3
500641;5;5;5
500642;4;3;3
500643;99;99;99
500645;4;3;97
500650;6;6;6
500655;2;2;4
500658;2;2;2
500659;6;3;6
500660;3;2;2
500661;4;4;4
500663;99;99;99
500665;2;2;2
500667;2;2;2
500669;3;2;6
500670;3;3;4
500671;2;2;2
500672;3;4;3
500674;4;4;4
500675;6;6;6
500676;2;2;3
500679;5;4;4
500690;3;2;3
500703;6;6;6
500705;2;2;2
500706;3;3;3
500707;3;3;3
500710;2;2;3
500711;2;3;3
500712;6;6;6
500720;97;6;97
500723;2;97;3
500724;6;4;4
500725;2;2;2
500726;4;3;3
500727;3;3;3
500728;6;6;2
500729;5;4;4
500730;5;4;4
500731;6;3;4
500732;6;4;6
500735;97;5;4
500736;2;2;2
500739;4;4;4
500740;2;2;3
500741;6;6;6
500743;6;6;6
500753;3;2;3
500770;3;3;3
500774;3;3;3
500775;3;3;6
500776;99;99;99
500777;2;3;3
500778;6;6;6
500779;4;4;4
500781;6;6;6
500782;4;4;4
500784;4;4;4
500792;6;2;4
500797;2;2;2
500798;3;2;4
500800;3;2;3
500802;3;3;3
500803;3;3;3
500804;6;5;5
500807;4;4;4
500809;6;4;6
500810;5;3;3
500811;3;2;2
500815;6;6;6
500816;6;5;5
500817;3;3;3
500818;3;3;3
500819;5;5;5
500820;3;4;4
500821;6;3;5
500823;6;5;4
500835;6;3;3
500856;3;2;2
500858;5;3;3
500859;6;6;6
500860;97;97;97
500861;3;3;3
500866;2;3;3
500867;2;2;2
500868;5;4;4
500876;3;3;3
500882;5;5;5
500884;2;2;2
500885;3;2;3
500886;4;3;3
500887;4;4;4
500888;2;2;2
500889;5;3;3
500890;3;2;2
500891;4;3;3
500892;4;3;3
